store,count,timestamp
Drexel Hill,77,2020-04-28 02:10:44.493127
Bloomfield,1,2020-05-05 23:26:10.500796
Drexel Hill,93,2020-05-05 19:33:53.980312
Manahawkin,1,2020-05-06 00:22:24.459483
Manahawkin,1,2020-05-06 00:24:57.297332
Lodi,7,2020-05-15 16:27:01.021138
Hackensack,2,2020-05-15 16:27:02.965491
Bloomfield,10,2020-05-15 16:27:06.383929
New Milford,20,2020-05-15 16:30:09.423997
New Milford,21,2020-05-15 16:33:37.269040
Lodi,7,2020-05-15 16:33:39.100387
Hackensack,3,2020-05-15 16:33:41.162051
Bloomfield,10,2020-05-15 16:33:44.632585
New Milford,1,2020-05-15 16:36:47.689222
Bloomfield,1,2020-05-15 16:36:54.126052
New Milford,1,2020-05-15 16:43:23.753011
Bloomfield,1,2020-05-15 16:43:31.448632
New Milford,1,2020-05-15 16:46:34.848810
Lodi,1,2020-05-15 16:46:36.626087
Bloomfield,1,2020-05-15 16:46:41.566552
New Milford,16,2020-05-15 16:54:20.202604
Lodi,7,2020-05-15 16:54:22.190636
Hackensack,1,2020-05-15 16:54:23.840449
Bloomfield,11,2020-05-15 16:54:28.869192
New Milford,17,2020-05-15 16:57:19.747605
Lodi,6,2020-05-15 16:57:21.780196
Hackensack,1,2020-05-15 16:57:23.591575
Bloomfield,9,2020-05-15 16:57:27.248772
New Milford,2,2020-05-15 17:00:30.304664
New Milford,1,2020-05-15 17:03:40.605840
New Milford,16,2020-05-15 17:05:13.386847
Lodi,6,2020-05-15 17:05:16.645112
Bloomfield,9,2020-05-15 17:05:22.740350
New Milford,16,2020-05-15 17:07:04.451661
Lodi,6,2020-05-15 17:07:06.201319
Hackensack,1,2020-05-15 17:07:08.841923
Bloomfield,9,2020-05-15 17:07:12.342634
New Milford,14,2020-05-15 17:15:46.705833
Lodi,4,2020-05-15 17:15:48.625199
Hackensack,2,2020-05-15 17:15:50.798300
Bloomfield,8,2020-05-15 17:15:57.440211
New Milford,1,2020-05-15 17:22:10.082853
Hackensack,1,2020-05-15 17:22:13.658761
Bloomfield,3,2020-05-15 17:22:17.311909
New Milford,1,2020-05-15 17:25:20.903109
New Milford,2,2020-05-15 17:28:29.861260
Lodi,1,2020-05-15 17:28:31.805866
New Milford,2,2020-05-15 17:31:39.709322
Bloomfield,1,2020-05-15 17:31:46.948461
New Milford,11,2020-05-15 17:40:12.989566
Lodi,5,2020-05-15 17:40:14.851958
Bloomfield,10,2020-05-15 17:40:21.984311
New Milford,1,2020-05-15 17:43:25.817094
New Milford,2,2020-05-15 17:46:35.339821
Bloomfield,1,2020-05-15 17:49:54.431867
New Milford,1,2020-05-15 17:52:58.461107
New Milford,1,2020-05-15 17:56:09.866268
New Milford,1,2020-05-15 17:59:20.088911
